Year,Date,Open,High,Low,Close,Adj Close
1928,1/3/1928,17.76,17.76,17.76,17.76,17.76
1928,2/1/1928,17.530001,17.530001,17.530001,17.530001,17.530001
1928,3/1/1928,17.299999,17.299999,17.299999,17.299999,17.299999
1928,4/2/1928,18.91,18.91,18.91,18.91,18.91
1928,5/1/1928,19.780001,19.780001,19.780001,19.780001,19.780001
1928,6/1/1928,20.07,20.07,20.07,20.07,20.07
1928,7/2/1928,18.98,18.98,18.98,18.98,18.98
1928,8/1/1928,19.42,19.42,19.42,19.42,19.42
1928,9/4/1928,20.969999,20.969999,20.969999,20.969999,20.969999
1928,10/1/1928,21.360001,21.360001,21.360001,21.360001,21.360001
1928,11/1/1928,21.99,21.99,21.99,21.99,21.99
1928,12/3/1928,23.85,23.85,23.85,23.85,23.85
1929,1/2/1929,24.809999,24.809999,24.809999,24.809999,24.809999
1929,2/1/1929,25.84,25.84,25.84,25.84,25.84
1929,3/1/1929,25.83,25.83,25.83,25.83,25.83
1929,4/1/1929,24.879999,24.879999,24.879999,24.879999,24.879999
1929,5/1/1929,25.99,25.99,25.99,25.99,25.99
1929,6/3/1929,25.27,25.27,25.27,25.27,25.27
1929,7/1/1929,27.77,27.77,27.77,27.77,27.77
1929,8/1/1929,29.08,29.08,29.08,29.08,29.08
1929,9/3/1929,31.82,31.82,31.82,31.82,31.82
1929,10/1/1929,29.98,29.98,29.98,29.98,29.98
1929,11/4/1929,22.879999,22.879999,22.879999,22.879999,22.879999
1929,12/2/1929,20.950001,20.950001,20.950001,20.950001,20.950001
1930,1/2/1930,21.18,21.18,21.18,21.18,21.18
1930,2/3/1930,22.74,22.74,22.74,22.74,22.74
1930,3/3/1930,23.360001,23.360001,23.360001,23.360001,23.360001
1930,4/1/1930,25.370001,25.370001,25.370001,25.370001,25.370001
1930,5/1/1930,24.299999,24.299999,24.299999,24.299999,24.299999
1930,6/2/1930,24.4,24.4,24.4,24.4,24.4
1930,7/1/1930,20.24,20.24,20.24,20.24,20.24
1930,8/1/1930,21.110001,21.110001,21.110001,21.110001,21.110001
1930,9/2/1930,21.379999,21.379999,21.379999,21.379999,21.379999
1930,10/1/1930,19.42,19.42,19.42,19.42,19.42
1930,11/3/1930,17.129999,17.129999,17.129999,17.129999,17.129999
1930,12/1/1930,16.799999,16.799999,16.799999,16.799999,16.799999
1931,1/2/1931,15.85,15.85,15.85,15.85,15.85
1931,2/2/1931,16.16,16.16,16.16,16.16,16.16
1931,3/2/1931,17.52,17.52,17.52,17.52,17.52
1931,4/1/1931,16.52,16.52,16.52,16.52,16.52
1931,5/1/1931,14.65,14.65,14.65,14.65,14.65
1931,6/1/1931,12.4,12.4,12.4,12.4,12.4
1931,7/1/1931,15.07,15.07,15.07,15.07,15.07
1931,8/3/1931,13.93,13.93,13.93,13.93,13.93
1931,9/1/1931,13.92,13.92,13.92,13.92,13.92
1931,10/1/1931,9.53,9.53,9.53,9.53,9.53
1931,11/2/1931,10.5,10.5,10.5,10.5,10.5
1931,12/1/1931,9.38,9.38,9.38,9.38,9.38
1932,1/4/1932,7.56,7.56,7.56,7.56,7.56
1932,2/1/1932,8.23,8.23,8.23,8.23,8.23
1932,3/1/1932,8.35,8.35,8.35,8.35,8.35
1932,4/1/1932,7.18,7.18,7.18,7.18,7.18
1932,5/2/1932,5.74,5.74,5.74,5.74,5.74
1932,6/1/1932,4.4,4.4,4.4,4.4,4.4
1932,7/1/1932,4.6,4.6,4.6,4.6,4.6
1932,8/1/1932,6.11,6.11,6.11,6.11,6.11
1932,9/1/1932,8.47,8.47,8.47,8.47,8.47
1932,10/3/1932,8.06,8.06,8.06,8.06,8.06
1932,11/1/1932,6.76,6.76,6.76,6.76,6.76
1932,12/1/1932,6.73,6.73,6.73,6.73,6.73
1933,1/3/1933,6.83,6.83,6.83,6.83,6.83
1933,2/1/1933,6.67,6.67,6.67,6.67,6.67
1933,3/1/1933,5.77,5.77,5.77,5.77,5.77
1933,4/3/1933,5.87,5.87,5.87,5.87,5.87
1933,5/1/1933,8.43,8.43,8.43,8.43,8.43
1933,6/1/1933,9.74,9.74,9.74,9.74,9.74
1933,7/3/1933,11.62,11.62,11.62,11.62,11.62
1933,8/1/1933,10.25,10.25,10.25,10.25,10.25
1933,9/1/1933,11.23,11.23,11.23,11.23,11.23
1933,10/2/1933,9.62,9.62,9.62,9.62,9.62
1933,11/1/1933,9.12,9.12,9.12,9.12,9.12
1933,12/1/1933,9.91,9.91,9.91,9.91,9.91
1934,1/2/1934,10.11,10.11,10.11,10.11,10.11
1934,2/1/1934,11.46,11.46,11.46,11.46,11.46
1934,3/1/1934,10.72,10.72,10.72,10.72,10.72
1934,4/2/1934,10.76,10.76,10.76,10.76,10.76
1934,5/1/1934,10.46,10.46,10.46,10.46,10.46
1934,6/1/1934,9.38,9.38,9.38,9.38,9.38
1934,7/2/1934,9.69,9.69,9.69,9.69,9.69
1934,8/1/1934,8.95,8.95,8.95,8.95,8.95
1934,9/4/1934,9.06,9.06,9.06,9.06,9.06
1934,10/1/1934,8.83,8.83,8.83,8.83,8.83
1934,11/1/1934,8.77,8.77,8.77,8.77,8.77
1934,12/3/1934,9.41,9.41,9.41,9.41,9.41
1935,1/2/1935,9.51,9.51,9.51,9.51,9.51
1935,2/1/1935,9.05,9.05,9.05,9.05,9.05
1935,3/1/1935,8.79,8.79,8.79,8.79,8.79
1935,4/1/1935,8.54,8.54,8.54,8.54,8.54
1935,5/1/1935,9.23,9.23,9.23,9.23,9.23
1935,6/3/1935,9.67,9.67,9.67,9.67,9.67
1935,7/1/1935,10.28,10.28,10.28,10.28,10.28
1935,8/1/1935,11.04,11.04,11.04,11.04,11.04
1935,9/3/1935,11.21,11.21,11.21,11.21,11.21
1935,10/1/1935,11.48,11.48,11.48,11.48,11.48
1935,11/1/1935,12.61,12.61,12.61,12.61,12.61
1935,12/2/1935,12.75,12.75,12.75,12.75,12.75
1936,1/2/1936,13.4,13.4,13.4,13.4,13.4
1936,2/3/1936,14.44,14.44,14.44,14.44,14.44
1936,3/2/1936,14.77,14.77,14.77,14.77,14.77
1936,4/1/1936,15.19,15.19,15.19,15.19,15.19
1936,5/1/1936,13.87,13.87,13.87,13.87,13.87
1936,6/1/1936,14.39,14.39,14.39,14.39,14.39
1936,7/1/1936,14.9,14.9,14.9,14.9,14.9
1936,8/3/1936,15.91,15.91,15.91,15.91,15.91
1936,9/1/1936,15.95,15.95,15.95,15.95,15.95
1936,10/1/1936,16.040001,16.040001,16.040001,16.040001,16.040001
1936,11/2/1936,17.17,17.17,17.17,17.17,17.17
1936,12/1/1936,17.139999,17.139999,17.139999,17.139999,17.139999
1937,1/4/1937,16.93,16.93,16.93,16.93,16.93
1937,2/1/1937,17.879999,17.879999,17.879999,17.879999,17.879999
1937,3/1/1937,18.09,18.09,18.09,18.09,18.09
1937,4/1/1937,17.709999,17.709999,17.709999,17.709999,17.709999
1937,5/3/1937,16.469999,16.469999,16.469999,16.469999,16.469999
1937,6/1/1937,15.96,15.96,15.96,15.96,15.96
1937,7/1/1937,15.47,15.47,15.47,15.47,15.47
1937,8/2/1937,17.07,17.07,17.07,17.07,17.07
1937,9/1/1937,15.61,15.61,15.61,15.61,15.61
1937,10/1/1937,13.72,13.72,13.72,13.72,13.72
1937,11/1/1937,12.08,12.08,12.08,12.08,12.08
1937,12/1/1937,10.97,10.97,10.97,10.97,10.97
1938,1/3/1938,10.52,10.52,10.52,10.52,10.52
1938,2/1/1938,10.89,10.89,10.89,10.89,10.89
1938,3/1/1938,11.46,11.46,11.46,11.46,11.46
1938,4/1/1938,8.91,8.91,8.91,8.91,8.91
1938,5/2/1938,9.59,9.59,9.59,9.59,9.59
1938,6/1/1938,9.57,9.57,9.57,9.57,9.57
1938,7/1/1938,11.91,11.91,11.91,11.91,11.91
1938,8/1/1938,12.25,12.25,12.25,12.25,12.25
1938,9/1/1938,11.92,11.92,11.92,11.92,11.92
1938,10/3/1938,12.52,12.52,12.52,12.52,12.52
1938,11/1/1938,13.1,13.1,13.1,13.1,13.1
1938,12/1/1938,12.61,12.61,12.61,12.61,12.61
1939,1/3/1939,13.08,13.08,13.08,13.08,13.08
1939,2/1/1939,12.12,12.12,12.12,12.12,12.12
1939,3/1/1939,12.7,12.7,12.7,12.7,12.7
1939,4/3/1939,11.26,11.26,11.26,11.26,11.26
1939,5/1/1939,10.86,10.86,10.86,10.86,10.86
1939,6/1/1939,11.42,11.42,11.42,11.42,11.42
1939,7/3/1939,11,11,11,11,11
1939,8/1/1939,12.04,12.04,12.04,12.04,12.04
1939,9/1/1939,11.3,11.3,11.3,11.3,11.3
1939,10/2/1939,12.88,12.88,12.88,12.88,12.88
1939,11/1/1939,12.82,12.82,12.82,12.82,12.82
1939,12/1/1939,12.29,12.29,12.29,12.29,12.29
1940,1/2/1940,12.63,12.63,12.63,12.63,12.63
1940,2/1/1940,12.05,12.05,12.05,12.05,12.05
1940,3/1/1940,12.06,12.06,12.06,12.06,12.06
1940,4/1/1940,12.21,12.21,12.21,12.21,12.21
1940,5/1/1940,12.03,12.03,12.03,12.03,12.03
1940,6/3/1940,9.11,9.11,9.11,9.11,9.11
1940,7/1/1940,9.87,9.87,9.87,9.87,9.87
1940,8/1/1940,10.26,10.26,10.26,10.26,10.26
1940,9/3/1940,10.56,10.56,10.56,10.56,10.56
1940,10/1/1940,10.81,10.81,10.81,10.81,10.81
1940,11/1/1940,11.08,11.08,11.08,11.08,11.08
1940,12/2/1940,10.62,10.62,10.62,10.62,10.62
1941,1/2/1941,10.48,10.48,10.48,10.48,10.48
1941,2/3/1941,9.96,9.96,9.96,9.96,9.96
1941,3/3/1941,9.77,9.77,9.77,9.77,9.77
1941,4/1/1941,9.97,9.97,9.97,9.97,9.97
1941,5/1/1941,9.3,9.3,9.3,9.3,9.3
1941,6/2/1941,9.36,9.36,9.36,9.36,9.36
1941,7/1/1941,9.82,9.82,9.82,9.82,9.82
1941,8/1/1941,10.34,10.34,10.34,10.34,10.34
1941,9/2/1941,10.34,10.34,10.34,10.34,10.34
1941,10/1/1941,10.17,10.17,10.17,10.17,10.17
1941,11/3/1941,9.59,9.59,9.59,9.59,9.59
1941,12/1/1941,9.07,9.07,9.07,9.07,9.07
1942,1/2/1942,8.89,8.89,8.89,8.89,8.89
1942,2/2/1942,8.84,8.84,8.84,8.84,8.84
1942,3/2/1942,8.47,8.47,8.47,8.47,8.47
1942,4/1/1942,8.05,8.05,8.05,8.05,8.05
1942,5/1/1942,7.71,7.71,7.71,7.71,7.71
1942,6/1/1942,8.19,8.19,8.19,8.19,8.19
1942,7/1/1942,8.23,8.23,8.23,8.23,8.23
1942,8/3/1942,8.57,8.57,8.57,8.57,8.57
1942,9/1/1942,8.62,8.62,8.62,8.62,8.62
1942,10/1/1942,8.92,8.92,8.92,8.92,8.92
1942,11/2/1942,9.48,9.48,9.48,9.48,9.48
1942,12/1/1942,9.28,9.28,9.28,9.28,9.28
1943,1/4/1943,9.92,9.92,9.92,9.92,9.92
1943,2/1/1943,10.52,10.52,10.52,10.52,10.52
1943,3/1/1943,10.92,10.92,10.92,10.92,10.92
1943,4/1/1943,11.59,11.59,11.59,11.59,11.59
